Rank	Gene	HalfLife1	HalfLife2	HalfLife3	AverageHalfLife
74	YDL200C	20.5182998201	1961.19173641	34.7221135694	672.144049933
75	YLR013W	85.8906994549		1247.25333457	666.572017011
76	YER104W	247.989456078	1701.27769832	48.5262271467	665.931127182
77	YMR251W-A	50.1448643258	1891.60092298	34.9183470866	658.888044797
78	YOR024W	81.0331880275		1228.41109196	654.722139996
79	YKR049C	49.8158619291	1836.09261043	26.269429588	637.392633983
80	YOL162W	1106.14745982		150.338263817	628.242861819
81	YML089C	91.7609823868	1607.00932501	84.8412943631	594.537200587
82	YDR274C	46.7127077567	56.7455446881	1675.6799984	593.046083617
83	YFL017W-A	62.8814334281	1686.16579752	28.2023602637	592.416530405
84	YIR017C	1153.04664346		22.2697377738	587.658190618
85	Q0045		1098.41293487	59.0956750903	578.754304978
86	YAL067C	1580.92716785	76.1244404225	60.4042690283	572.485292433
87	YBL064C	198.05959084	97.2732847392	1419.92395373	571.752276437
88	YDR376W	1493.46157642	143.670308939	40.6198109657	559.250565443
89	YMR251W	382.510363804	1145.04761296	149.828583807	559.128853522
90	YPL201C	27.0983659771	1537.05221914	83.8717663175	549.340783812
91	YOR255W	329.10679542		767.291808543	548.199301982
92	YDR159W		1052.92490558	15.1649666363	534.044936109
93	YLR258W	339.078102617	720.978289199		530.028195908
94	YDL091C	50.8399343425	1453.52775194	46.0513848648	516.80635705
95	YKL151C	1121.14295816	57.4185861159	370.230302808	516.263949028
96	YDR535C	814.481724676	614.187297458	113.807097058	514.158706398
97	YML100W		965.5739271	61.6366342314	513.605280666
98	YIR013C	153.079567955		873.898216492	513.488892224
99	YOL085C	59.2643551663	533.923354732	946.460739688	513.216149862
100	YNL008C	224.069670233		773.735900433	498.902785333
101	YAL061W	42.2424686047	1367.69056962	83.7114914881	497.881509904
102	YER179W	118.974931512	1339.68214457	28.1324107512	495.596495611
103	YDR370C	893.058140005	483.950746134	57.4449691282	478.151285089
104	YAR023C	117.364279795	4.11263941909	1291.59350091	471.023473373
105	YKR015C	47.4964093852	1312.97064806	50.7965018071	470.421186416
106	YNL015W	24.4625554253	1314.63549231	56.6394152449	465.245820993
107	YHL043W	854.998388643		63.8908676542	459.444628149
108	YDL023C	67.053553647	991.404546046	313.29071496	457.249604885
109	YDR412W	227.850956874	1093.95874422	15.6735240679	445.827741719
110	YOL132W	811.046174117		77.4377763089	444.241975213
