Rank	GeneID	Score
260	16130205	7.99632621918
261	16129007	7.9848223947
262	90111134	7.972853863
263	16132007	7.96588519368
264	90111286	7.95405073604
265	16128855	7.94753605502
266	16131891	7.92646277952
267	16130967	7.91709502951
268	90111182	7.91582952322
269	16130145	7.91071442255
270	90111288	7.9087962267
271	16132098	7.90694265805
272	16129118	7.90526057187
273	16129496	7.89874589085
274	16129982	7.89874589085
275	16128133	7.8895122149
276	16128602	7.87854318353
277	171701681	7.86989242803
278	16128737	7.86849284767
279	16131129	7.86703935905
280	90111327	7.86703935905
281	16132042	7.86563977869
282	90111123	7.84642007184
283	16128025	7.84172155106
284	49176377	7.84032197071
285	16129171	7.82405499824
286	16128677	7.82405499824
287	16128686	7.81684961452
288	90111100	7.81448554723
289	16132115	7.81013323249
290	16129269	7.80443521137
291	16131892	7.79990005621
292	16130204	7.79420203509
293	16128280	7.79053230621
294	16130153	7.78188155071
295	16128940	7.77458224823
296	16128537	7.77318266787
297	16131653	7.76897814587
298	16131869	7.76215972823
299	16131721	7.76215972823
300	90111346	7.76167884339
301	49176393	7.75210939237
302	16129630	7.74274164237
303	90111306	7.72863703619
304	90111684	7.7145707654
305	16129631	7.71288867922
306	16130803	7.70912503157
307	16130095	7.70558937674
308	90111730	7.70500131439
309	90111140	7.70352092922
310	145698321	7.70273630776
311	16131704	7.68757087124
312	90111268	7.68104807336
313	16130129	7.67514835124
314	16129428	7.67366796607
315	16131428	7.67254756954
316	16131766	7.67090381875
317	90111320	7.66921361572
318	16130168	7.66863367022
319	16130909	7.66815278538
320	90111127	7.66636866358
321	90111217	7.66636866358
322	16130050	7.6622449464
323	16129885	7.66221804986
324	16131577	7.65573026538
325	16130707	7.65573026538
326	16128657	7.65028453155
327	16128801	7.64743146257
328	16131120	7.64389580773
329	16129802	7.64273294178
330	16128116	7.6410508556
331	16131779	7.64022607884
332	16129056	7.63786201155
333	16131217	7.63738112671
334	90111122	7.63592763808
335	16129235	7.63292677636
336	16130341	7.63048190425
337	90111682	7.62722875525
338	16128914	7.62438380312
339	226524744	7.61757849942
340	16131591	7.60752816356
341	226524757	7.59922936075
342	16129978	7.59462475873
343	b4691	7.59226069143
344	16130835	7.59226069143
345	16130584	7.58713747391
346	145698285	7.58680684075
347	16128400	7.58505530771
348	16130534	7.58505530771
349	90111496	7.58505530771
350	16128033	7.58129166006
351	16130071	7.58103937278
352	16128585	7.57708713806
353	16130126	7.56878833525
354	16130125	7.56878833525
355	16130906	7.56042008558
356	90111225	7.55881880421
357	16129478	7.55403947861
358	16129477	7.55403947861
359	16128873	7.55143869691
360	16128909	7.54858562793
361	16129993	7.5457406758
362	16130430	7.53202061105
363	16130814	7.52326781994
364	16128370	7.52099767141
365	16131979	7.51959809106
366	16130544	7.51959809106
367	171701682	7.51675313892
368	16128366	7.51529965029
369	90111675	7.51221798376
370	16129324	7.50384973409
371	16130308	7.49695051163
372	16130011	7.49695051163
373	16128586	7.49695051163
374	16130124	7.49269786229
375	16130735	7.48631211342
376	16131034	7.48404710679
377	16128738	7.48177695826
378	16131852	7.47753242577
379	49176437	7.46854292025
